timestamp,readingtime,temperature,humidity,pressure,altitude,temperature status,humidity status,pressure status
1638225569651,03:39:29 2021/11/30,21.18,51.56,953.17,512.64,NORMAL,NORMAL,NORMAL
1638225629759,03:40:29 2021/11/30,21.18,51.68,953.16,512.75,NORMAL,NORMAL,NORMAL
1638225689768,03:41:29 2021/11/30,21.18,51.69,953.14,512.91,NORMAL,NORMAL,NORMAL
1638225749672,03:42:29 2021/11/30,21.18,51.59,953.15,512.82,NORMAL,NORMAL,NORMAL
1638225809678,03:43:29 2021/11/30,21.18,51.61,953.16,512.76,NORMAL,NORMAL,NORMAL
1638225869684,03:44:29 2021/11/30,21.17,51.61,953.15,512.84,NORMAL,NORMAL,NORMAL
1638225929691,03:45:29 2021/11/30,21.17,51.73,953.16,512.79,NORMAL,NORMAL,NORMAL
1638225989712,03:46:29 2021/11/30,21.17,51.69,953.14,512.96,NORMAL,NORMAL,NORMAL
1638226049708,03:47:29 2021/11/30,21.16,51.5,953.15,512.87,NORMAL,NORMAL,NORMAL
1638226109719,03:48:29 2021/11/30,21.17,51.69,953.15,512.85,NORMAL,NORMAL,NORMAL
1638226169720,03:49:29 2021/11/30,21.16,51.68,953.1,513.26,NORMAL,NORMAL,NORMAL
1638226229732,03:50:29 2021/11/30,21.17,51.64,953.14,512.91,NORMAL,NORMAL,NORMAL
1638226289755,03:51:29 2021/11/30,21.16,51.58,953.14,512.94,NORMAL,NORMAL,NORMAL
1638226349750,03:52:29 2021/11/30,21.16,51.74,953.15,512.84,NORMAL,NORMAL,NORMAL
1638226409746,03:53:29 2021/11/30,21.16,51.67,953.18,512.58,NORMAL,NORMAL,NORMAL
1638226469752,03:54:29 2021/11/30,21.15,51.74,953.17,512.63,NORMAL,NORMAL,NORMAL
1638226529762,03:55:29 2021/11/30,21.15,51.64,953.15,512.83,NORMAL,NORMAL,NORMAL
1638226589766,03:56:29 2021/11/30,21.15,51.58,953.18,512.58,NORMAL,NORMAL,NORMAL
1638226649775,03:57:29 2021/11/30,21.15,51.69,953.15,512.85,NORMAL,NORMAL,NORMAL
1638226709775,03:58:29 2021/11/30,21.14,51.66,953.16,512.77,NORMAL,NORMAL,NORMAL
1638226769782,03:59:29 2021/11/30,21.15,51.64,953.13,512.99,NORMAL,NORMAL,NORMAL
1638226829788,04:00:29 2021/11/30,21.14,51.58,953.11,513.16,NORMAL,NORMAL,NORMAL
1638226889795,04:01:29 2021/11/30,21.14,51.69,953.08,513.45,NORMAL,NORMAL,NORMAL
1638226949805,04:02:29 2021/11/30,21.14,51.69,953.12,513.14,NORMAL,NORMAL,NORMAL
1638227009807,04:03:29 2021/11/30,21.14,51.61,953.12,513.14,NORMAL,NORMAL,NORMAL
1638227069817,04:04:29 2021/11/30,21.14,51.63,953.09,513.39,NORMAL,NORMAL,NORMAL
1638227129826,04:05:29 2021/11/30,21.14,51.57,953.09,513.4,NORMAL,NORMAL,NORMAL
1638227189828,04:06:29 2021/11/30,21.14,51.74,953.13,512.98,NORMAL,NORMAL,NORMAL
1638227249834,04:07:29 2021/11/30,21.14,51.57,953.11,513.16,NORMAL,NORMAL,NORMAL
1638227309845,04:08:29 2021/11/30,21.13,51.54,953.1,513.28,NORMAL,NORMAL,NORMAL
1638227369860,04:09:29 2021/11/30,21.13,51.44,953.1,513.27,NORMAL,NORMAL,NORMAL
1638227429854,04:10:29 2021/11/30,21.13,51.64,953.12,513.06,NORMAL,NORMAL,NORMAL
1638227489860,04:11:29 2021/11/30,21.13,51.69,953.09,513.34,NORMAL,NORMAL,NORMAL
1638227549867,04:12:29 2021/11/30,21.13,51.56,953.11,513.16,NORMAL,NORMAL,NORMAL
1638227609886,04:13:29 2021/11/30,21.12,51.54,953.08,513.42,NORMAL,NORMAL,NORMAL
1638227669893,04:14:29 2021/11/30,21.12,51.66,953.06,513.63,NORMAL,NORMAL,NORMAL
1638227729888,04:15:29 2021/11/30,21.12,51.7,953.1,513.3,NORMAL,NORMAL,NORMAL
1638227789896,04:16:29 2021/11/30,21.12,51.7,953.09,513.39,NORMAL,NORMAL,NORMAL
1638227849901,04:17:29 2021/11/30,21.11,51.68,953.08,513.46,NORMAL,NORMAL,NORMAL
1638227909916,04:18:29 2021/11/30,21.11,51.57,953.07,513.51,NORMAL,NORMAL,NORMAL
1638227969914,04:19:29 2021/11/30,21.11,51.54,953.1,513.3,NORMAL,NORMAL,NORMAL
